recipe_name,ingredients,preparation_time,cooking_time
Tandoori Pudla Sandwich,"{'MUSTARD OIL': 1, 'GINGER GARLIC PASTE': 1, 'CORIANDER POWDER': 1, 'KASHMIRI RED CHILLI POWDER': 1, 'JEERA POWDER': 1, 'BLACK SALT': 0.5, 'AMCHUR POWDER': 1, 'GARAM MASALA': 1, 'KASURI METHI': 1, 'HUNG CURD': 0.5, 'CABBAGE': 1, 'TOMATOES': 0.5, 'ONIONS': 0.5, 'CAPSICUM': 0.5, 'BEETROOT': 0.5, 'GREEN CHILLIES': 1, 'LEMON JUICE': 1, 'FRESH CORIANDER': 1, 'BESAN': 1.5, 'TURMERIC POWDER': 0.5, 'AJWAIN': 1, 'BREAD SLICES': 0, 'PROCESSED CHEESE': 0, 'CHAAT MASALA': 0, 'BUTTER': 0}",0.0,0.0
No onion No Garlic Cooker Pulao,"{'Basmati rice': 1.5, 'Soy chunks': 1, 'Oil': 1, 'Jeera': 1, 'Black cardamom': 1, 'Green cardamom': 3, 'Cinnamon stick': 1, 'Black peppercorn': 8, 'Cloves': 3, 'Bay leaf': 1, 'Asafoetida': 0.5, 'Green chillies': 1, 'Tomatoes': 2, 'Turmeric powder': 0.25, 'Red chilli powder': 1, 'Coriander powder': 2, 'Gobhi': 0.5, 'Carrot': 0.5, 'French beans': 0.25, 'Raw Potatoes': 2, 'Soya chunks': 1, 'Salt': 0, 'Water': 3, 'Garam masala': 1, 'Lemon wedges': 1, 'Fresh coriander': 1}",0.0,0.0
Egg chowmein frankie,"{'OIL': '2 tbsp', 'GARLIC': '1 tbsp', 'GINGER': '1 tbsp', 'SPRING ONION BULBS': '1/4th cup', 'GREEN CHILLIES': '2-3', 'ONIONS': '0', 'CARROTS': '½ cup', 'CAPSICUM': '½ cup', 'CABBAGE': '1 cup', 'NOODLES': '0', 'SOY SAUCE': '1 tsp', 'GREEN CHILLI PASTE': '2 tsp', 'RED CHILLI SAUCE': '1 tbsp', 'TOMATO KETCHUP': '1 tbsp', 'VINEGAR': '1 tsp', 'WHITE PEPPER POWDER': 'a pinch', 'SALT': '½ tsp', 'SUGAR': '1 tsp', 'SPRING ONION GREENS': '1 tbsp', 'REFINED FLOUR': '2 cups', 'CURD': '1/4th cup', 'WATER': '1 & 1/4th cup', 'EGGS': '1', 'BUTTER': 'as required', 'FRANKIE ROTI': '0', 'SCHEZWAN SAUCE': '0', 'FRANKIE MASALA': '0', 'CHILLI VINEGAR': '0', 'PROCESSED CHEESE': '0'}",30.0,0.0
Paneer Crust Pizza,"{'MILK': 2, 'OREGANO': 1, 'RED CHILLI FLAKES': 1, 'BASIL': 3, 'REFINED FLOUR': 0.5, 'BREADCRUMBS': 1, 'PIZZA SAUCE': 0, 'MOZZARELLA CHEESE': 0, 'BELL PEPPERS': 0, 'ONIONS': 0, 'CORN': 0}",0.0,5.0
Eggless Almond Cake,"{'ALMONDS': '0.5 cup', 'SALTED BUTTER': '0.25 cup', 'POWDERED SUGAR': '0.75 cup', 'MILK': '1 cup', 'VANILLA EXTRACT': '1 tsp', 'REFINED FLOUR': '1 cup', 'BAKING POWDER': '2 tsp'}",0.0,35.0
Egg galawati kebab,"{'EGGS': 12, 'ONION': 1, 'CASHEW': 1, 'GINGER': 1, 'CHILLI': 1, 'SPECIAL GALAWATI KEBAB SPICE MIX': 1, 'ROSE WATER': 0.25, 'KEWRA WATER': 0.25, 'GHEE': 1, 'BESAN': 1}",0.0,0.0
Chicken lollipop,"{'CHICKEN': '12', 'GINGER GARLIC PASTE': '1', 'GREEN CHILLIES': '2-3', 'SALT': '0', 'PEPPER': '0', 'SOY SAUCE': '1', 'VINEGAR': '1', 'SCHEZWAN SAUCE': '3', 'RED CHILLI SAUCE': '1', 'CORNFLOUR': '5', 'REFINED FLOUR': '4', 'EGGS': '1', 'OIL': '0'}",15.0,6.0
Veg wonton soup,"{'REFINED FLOUR': 400, 'SALT': 0, 'WATER': 210, 'CORNSTARCH': 0, 'PANEER': 250, 'CARROTS': 0.5, 'FRENCH BEANS': 0.25, 'CABBAGE': 0.5, 'GINGER': 1, 'SPRING ONION GREENS': 4, 'LIGHT SOY SAUCE': 2, 'WHITE PEPPER POWDER': 0, 'VEGETABLE STOCK': 2000, 'GARLIC': 4, 'VINEGAR': 1, 'SUGAR': 1, 'GREEN CHILLIES': 2, 'BROCCOLI': 0.5, 'MUSHROOM': 0.5}",0.0,15.0
Punjabi style Aloo paratha,"{'POTATOES': 4, 'GINGER': 1, 'GREEN CHILLIES': 3, 'AJWAIN': 0.25, 'SUKHA DHANIYA': 2, 'JEERA POWDER': 1, 'LAL MIRCH POWDER': 1, 'AMCHUR POWDER': 1, 'ANARDANA POWDER': 1, 'FRESH MINT LEAVES': 1, 'FRESH CORIANDER LEAVES': 1, 'KASURI METHI': 1, 'ONIONS': 1, 'WHEAT FLOUR': 2, 'SALT': 0.5, 'OIL': 1}",30.0,0.0
Pithala bhakri,"{'BESAN': 2, 'GREEN CHILLIES': 12, 'GARLIC': 10, 'SALT': 0, 'TURMERIC': 1, 'OIL': 2, 'RAI': 1, 'JEERA': 1, 'CURRY LEAVES': 12, 'ONIONS': 1, 'HING': 0.5, 'FRESH CORIANDER LEAVES': 0, 'JOWAR FLOUR': 2}",0.0,0.0
Soya chaap makhani,"{'SOYA CHAAP': 500, 'OIL': 0, 'SARSON KA TEL': 2}",0.0,0.0
Pineapple Sheera,"{'PINEAPPLE': 300, 'CASHEWS': 8, 'ALMONDS': 8, 'PISTACHIOS': 8, 'SEMOLINA': 1, 'WATER': 3.25, 'KESAR': 10, 'ELAICHI POWDER': 1, 'SUGAR': 0.75}",0.0,0.0
Punjabi Style Homemade Mutton Masala,"{'MUTTON': '2 kg', 'ONIONS': '1.5 kg', 'GARLIC': '100 gm', 'GINGER': '50 gm', 'GREEN CHILLIES': '15 gm', 'TOMATOES': '1 kg', 'SALT': 0, 'OIL': '4 tbsp', 'GHEE': '4 tbsp'}",0.0,50.0
Masala paneer pakora,"{'JEERA': 2, 'SUKHA DHANIYA': 2, 'SABUT KAALI MIRCH': 10, 'SAUNF': 2, 'SALT': 0, 'RED CHILLI FLAKES': 2, 'MILK': 3000, 'GREEN CHILLIES': 4, 'FRESH CORIANDER': 1, 'VINEGAR': 2, 'WATER': 0, 'BESAN': 2, 'AJWAIN': 1, 'DHANIYA POWDER': 2, 'LAAL MIRCH POWDER': 2, 'HALDI': 0.5, 'AMCHUR POWDER': 2, 'FRESHLY MADE PANEER': 0, 'OIL': 0}",0.0,0.0
Yfl taco chaat,"{'WHEAT FLOUR': 1.5, 'SEMOLINA': 2, 'GHEE': 2, 'CAROM SEEDS': 0.25, 'RED CHILLI POWDER': 1, 'CORIANDER POWDER': 1, 'TURMERIC POWDER': 1, 'SALT': 1, 'FRESH CORIANDER': 1, 'OIL': 0, 'POTATOES': 0.5, 'TOMATOES': 0.25, 'CORNS': 0.25, 'POMEGRANATE SEEDS': 0.25, 'OATS': 0.25, 'MASALA CHANA DAL': 2, 'GREEN CHILLIES': 1, 'GUD, KHAJOOR & TAMARIND CHUTNEY': 5, 'SPICY MINT CHUTNEY': 2, 'CHAAT MASALA': 0, 'FRESH CORIANDER LEAVES': 0, 'LEMON JUICE': 1, 'CURD': 0, 'SEV': 0}",30.0,0.0
Tomato Soup,"{'BUTTER': 2, 'BAY LEAF': 1, 'BLACK PEPPERCORNS': 8, 'BLACK CARDAMOM SEEDS': 3, 'GARLIC': 3, 'GINGER': 1, 'ONIONS': 1, 'BEETROOT': 0.25, 'CARROT': 0.25, 'CORIANDER STEMS': 1, 'KASHMIRI RED CHILLI POWDER': 1, 'TOMATOES': 8, 'SALT': 0, 'SUGAR': 1, 'JEERA POWDER': 0.25, 'HOT WATER': 2, 'BLACK PEPPER': 0, 'KETCHUP': 2, 'LEMON JUICE': 0, 'CORNSTARCH': 1}",0.0,60.0
Chicken chilli wontons,"{'REFINED FLOUR': 2, 'EGGS': 2, 'BONELESS CHICKEN': 200, 'SPRING ONION GREENS': 0.25, 'GINGER': 1, 'GARLIC': 1, 'WHITE PEPPER POWDER': 0, 'SALT': 0, 'SOY SAUCE': 1, 'CHICKEN STOCK': 2, 'CORN STARCH': 1, 'WATER': 400, 'OIL': 1, 'SPRING ONION BULBS': 0.25, 'GREEN CHILLIES': 4, 'VINEGAR': 1, 'LIGHT SOY SAUCE': 2, 'DARK SOY SAUCE': 1, 'GREEN CHILLI PASTE': 2, 'SUGAR': 1, 'ONIONS': 0.5, 'CAPSICUM': 0.5, 'FRESH CORIANDER': 2, 'CORN FLOUR': 1}",30.0,6.0
Pasta in Creamy Tandoori Sauce,"{'SPAGHETTI': 1, 'WATER': 0, 'SALT': 0, 'BLACK PEPPER': 0, 'KASHMIRI RED CHILLI POWDER': 2, 'CORIANDER POWDER': 1, 'BLACK SALT': 0.5, 'JEERA POWDER': 1, 'AMCHUR POWDER': 1, 'GARAM MASALA': 0.5, 'KASURI METHI': 0.5, 'BUTTER': 3, 'GARLIC': 1, 'GREEN CHILLIES': 1, 'REFINED FLOUR': 3, 'MILK': 500, 'TANDOORI SPICE MIXES': 1.5, 'OREGANO': 1, 'CHILLI FLAKES': 0.5, 'CREAM': 2, 'CHEESE': 50, 'FRESH CORIANDER LEAVES': 2, 'FRIED GARLIC': 0, 'FRESH BASIL LEAVES': 0}",0.0,0.0
Soya kheema pav,"{'SOYA GRANULES': 150, 'SALT': 0, 'WATER': 0, 'GHEE': 2, 'OIL': 1, 'JEERA': 1, 'BAY LEAF': 2, 'CINNAMON': 1, 'STAR ANISE': 1, 'GREEN CARDAMOM': 3, 'CLOVES': 5, 'BLACK PEPPERCORN': 4, 'ONIONS': 4, 'GINGER GARLIC PASTE': 2, 'GREEN CHILLIES': 2, 'TOMATOES': 4, 'RED CHILLI POWDER': 1, 'CORIANDER POWDER': 1, 'JEERA POWDER': 1, 'TURMERIC POWDER': 0.25, 'KASURI METHI': 1, 'GARAM MASALA': 1, 'FRESH CORIANDER LEAVES': 1}",0.0,30.0
Chatpate Tandoori Aloo Chaat,"{'POTATOES': 5, 'MUSTARD OIL': 1, 'KASHMIRI RED CHILLI POWDER': 1, 'CORIANDER POWDER': 1, 'TURMERIC POWDER': 1, 'CUMMIN POWDER': 1, 'BLACK SALT': 1, 'AMCHUR POWDER': 1, 'KASURI METHI': 1, 'GARAM MASALA': 1, 'GINGER GARLIC PASTE': 1, 'HUNG CURD': 4, 'ONION': 0.5, 'CAPSICUM': 0.5, 'MELTED BUTTER': 0}",0.0,0.0
Soya Nargisi Kofta,"{'SOYA GRANULES': 2, 'WATER': 1.5, 'GARLIC': 1, 'GINGER': 1, 'GREEN CHILLIES': 2, 'FRIED ONIONS': 1, 'RED CHILLI POWDER': 1, 'CORIANDER POWDER': 1, 'JEERA POWDER': 1, 'GARAM MASALA': 1, 'KASURI METHI': 1, 'AMCHUR POWDER': 1, 'BLACK SALT': 0.5, 'SALT': 0, 'ROASTED BESAN': 1, 'FRESH CORIANDER LEAVES': 1, 'FRESH MINT LEAVES': 1, 'LIVE CHARCOAL': 0, 'GHEE': 3, 'BOILED EGGS': 12, 'OIL': 1, 'JEERA': 1, 'BAY LEAF': 2, 'CINNAMON STICK': 1, 'BLACK CARDAMOM': 1, 'GREEN CARDAMOM': 3, 'BLACK PEPPERCORNS': 4, 'CLOVES': 3, 'GINGER GARLIC PASTE': 1, 'TOMATO PUREE': 5, 'CURD': 0.5, 'TURMERIC POWDER': 0.5, 'CASHEW PASTE': 0.25, 'SOYA KOFTA': 0, 'FRESH CORIANDER': 1}",0.0,60.0
Vada pav tacos,"{'POTATOES': 2, 'OIL': 1, 'MUSTARD SEEDS': 1, 'CUMIN SEEDS': 1, 'ASAFOETIDA': 0.25, 'GREEN CHILLIES': 2, 'GINGER GARLIC PASTE': 1, 'TURMERIC POWDER': 0.5, 'GARAM MASALA': 1, 'LEMON JUICE': 1, 'FRESH CORIANDER': 1, 'TAMARIND CHUTNEY': 2, 'MAYONNAISE': 0.5}",0.0,0.0
Schezwan chutney,"{'WHOLE KASHMIRI RED CHILLIES': 100, 'OIL': 1, 'STAR ANISE': 1, 'GARLIC': 0.33, 'GINGER': 4, 'GREEN CHILLIES': 3, 'CELERY STEMS': 3, 'TOMATO KETCHUP': 0.75, 'RED CHILLI SAUCE': 5, 'LIGHT SOY SAUCE': 1, 'VINEGAR': 2, 'SALT': 2.5, 'WHITE PEPPER POWDER': 1, 'AROMAT POWDER': 1, 'SUGAR': 0.5, 'SICHUAN PEPPER POWDER': 0}",0.0,0.0
Spicy paneer burger,"{'MAYONNAISE': '3/4th cup', 'TOMATO KETCHUP': '2 tbsp', 'RED CHILLI SAUCE': '2 tbsp', 'GARLIC': '1/4 tsp', 'PANEER': '500 gm', 'REFINED FLOUR': '1/2 cup', 'RED CHILLI POWDER': '1 tbsp', 'GREEN CHILLI PASTE': '1 tsp', 'GINGER GARLIC PASTE': '1 tbsp', 'AMCHUR POWDER': '1 tsp', 'GARAM MASALA': 'a pinch', 'SALT': 'to taste', 'BLACK PEPPER POWDER': 'to taste', 'WATER': 'a required', 'BREAD CRUMBS': '1 cup', 'BURGER BUNS': 'as required', 'BUTTER': 'for toasting', 'ROMAINE LETTUCE': 'as required'}",0.0,0.0
Peri peri Chicken popcorn,{'CHICKEN': '750gm'},10.0,0.0
Cheese garlic bread pizza,"{'GARLIC': '6 tbsp', 'OREGANO': '1.5 tbsp', 'BASIL': '1 tbsp', 'BLACK PEPPER': '1 tsp', 'RED CHILLI': '1 tbsp', 'ROSEMARY': '1 tsp', 'CHEESE': '250 gm', 'BUTTER': '100 gm', 'Coriander/Parsley': '2 tbsp', 'BREAD': 'as required', 'PIZZA SAUCE': 'as required', 'TOPPINGS': 'of your choice'}",0.0,0.0
Veg Manchow Soup,"{'NOODLES': 1, 'SALT': 0, 'CORN STARCH': 2, 'OIL': 1, 'VEGETABLE TRIMMING': 0, 'WATER': 0, 'GARLIC': 4, 'GINGER': 2, 'GREEN CHILLIES': 1, 'CORIANDER STEMS': 1, 'VEGETABLE STOCK': 1.5, 'CABBAGE': 0.33, 'FRENCH BEANS': 0.25, 'CARROT': 0.25, 'CAPSICUM': 0.25, 'MUSHROOM': 0.25, 'TOFU/PANEER': 0.25, 'LIGHT SOY SAUCE': 1, 'DARK SOY SAUCE': 0.5, 'VINEGAR': 1, 'WHITE PEPPER POWDER': 1, 'SUGAR': 0.5, 'AROMAT POWDER': 2, 'FRESH CORIANDER LEAVES': 2, 'SPRING ONION GREENS': 1}",0.0,0.0
Capsicum pakora chaat,"{'OIL': 0, 'JEERA': 1, 'RAI': 1, 'HING': 0.25, 'CURRY LEAVES': 10, 'GINGER GARLIC PASTE': 1, 'TURMERIC POWDER': 0.5, 'GREEN CHILLI PASTE': 1, 'POTATOES': 5, 'GARAM MASALA': 0.5, 'SALT': 0, 'LEMON JUICE': 2, 'FRESH CORIANDER LEAVES': 0, 'BESAN': 2, 'AJWAIN': 1, 'WATER': 0, 'CAPSICUM': 0, 'SWEET IMLI KI CHUTNEY': 0, 'GREEN CHUTNEY': 0, 'RED GARLIC CHUTNEY': 0, 'ONIONS': 0, 'TOMATOES': 0, 'ALOO BHUJIYA': 0, 'CHAAT MASALA': 0, 'WHISKED CURD': 0}",0.0,0.0
Cheese Garlic Naan with Cheesy Dip,"{'REFINED FLOUR': 2, 'SALT': 0.25, 'SUGAR': 1, 'BAKING SODA': 0.5, 'DAHI': 0.25, 'GARLIC': 0.25, 'CHEESE': 250, 'CORIANDER': 1, 'GREEN CHILLIES': 2, 'BLACK PEPPER POWDER': 0, 'GARLIC POWDER': 4, 'OREGANO': 1.5, 'BASIL': 1, 'RED CHILLI POWDER': 1, 'ROSEMARY': 1, 'MILK': 50, 'BUTTER': 0}",30.0,0.0
Veg Hyderabadi Nizami Handi,"{'TOMATOES': 8, 'GREEN CHILLIES': 4, 'GINGER': 1, 'GARLIC': 4, 'CASHEW NUTS': 28, 'BAY LEAVES': 3, 'WATER': 500, 'SALT': 0, 'CAULIFLOWER': 250, 'FRENCH BEANS': 100, 'CARROTS': 100, 'GREEN PEAS': 100, 'OIL': 1, 'GHEE': 2, 'JEERA': 1, 'AJWAIN': 0.5, 'GREEN CARDAMOM': 4, 'CINNAMON': 1, 'ONIONS': 8, 'GG PASTE': 3, 'TURMERIC': 1, 'RED CHILI POWDER': 1, 'JEERA POWDER': 1, 'CORIANDER POWDER': 1, 'GARAM MASALA': 0.5, 'SPINACH': 1, 'FRESH CREAM': 4, 'KASURI METHI': 1}",0.0,0.0
Mumbai Style Masala Toast,"{'Coriander leaves': 1, 'Spinach': 6, 'Green chillies': 10, 'Garlic': 4, 'Roasted chana dal': 1, 'Curry leaves': 10, 'Jeera': 2, 'Star anise': 0.5, 'Cloves': 2, 'Peppercorns': 1, 'Fennel': 1, 'Amchur powder': 1, 'Anardana powder': 1, 'Ginger powder': 0.5, 'Hing': 0.5, 'Black salt': 1, 'Salt': 2.5, 'Oil': 1, 'Mustard seeds': 1, 'Ginger garlic paste': 1, 'Turmeric powder': 1, 'Red chilli powder': 1, 'Coriander powder': 1, 'Garam masala': 0.5, 'Asafoetida': 0.25, 'Potatoes': 2, 'Green peas': 0.25, 'Fresh coriander': 1, 'Lemon juice': 1}",0.0,0.0
Desi Masala Corn Burger,"{'OIL': '1 tsp', 'BUTTER': '1 tbsp', 'JEERA': '1 tsp', 'GINGER GARLIC PASTE': '1 tbsp', 'GREEN CHILLIES': '2-3', 'CAPSICUM': '1/2 cup', 'ONIONS': '1 cup', 'TURMERIC POWDER': '1 tsp', 'RED CHILLI POWDER': '1 tbsp', 'CORIANDER POWDER': '1 tbsp', 'PAV BHAJI MASALA': '1 tbsp', 'CHILLI SAUCE': '1 tbsp', 'TOMATO KETCHUP': '1 tbsp', 'TOMATOES': '3', 'SALT': 'to taste', 'CORN KERNELS': '1 cup', 'POTATOES': '3/4 cup', 'GARAM MASALA': 'a pinch', 'SPRING ONION GREENS': '1 tbsp', 'FRESH CORIANDER LEAVES': '2 tbsp'}",0.0,0.0
Soya Chaap Bhuna Masala,"{'SOYA_CHAAP': 500, 'CURD': 1, 'RED_CHILLI_POWDER': 1, 'AMCHUR_POWDER': 1, 'GHEE': 2, 'OIL': 1, 'JEERA': 1, 'BAY_LEAVES': 2, 'CLOVES': 3, 'GREEN_CARDAMOM': 2, 'CINNAMON_STICK': 1, 'BLACK_CARDAMOM': 1, 'ONIONS': 6, 'TURMERIC_POWDER': 1, 'GINGER_GARLIC_PASTE': 3, 'GREEN_CHILLIES': 4, 'KASHMIRI_RED_CHILLI_PASTE': 2, 'TOMATOES': 5, 'CORIANDER_POWDER': 1, 'JEERA_POWDER': 1, 'GARAM_MASALA': 0.5, 'KASURI_METHI': 1, 'FRESH_CORIANDER_LEAVES': 2}",0.0,60.0
Mumbai style veg frankie,"{'POTATOES': 3, 'OIL': '2 tbsp', 'BUTTER': 'blob', 'JEERA': '1 tsp', 'GINGER GARLIC PASTE': '1 tbsp', 'GREEN CHILLIES': 2, 'ASAFOETIDA': 'a pinch', 'TURMERIC POWDER': '1 tsp', 'RED CHILLI POWDER': '1 tbsp', 'CORIANDER POWDER': 2, 'GARAM MASALA': 2, 'TOMATO KETCHUP': '1 tbsp', 'RED CHILLI SAUCE': '1 tsp', 'WATER': 50, 'SALT': '½ tsp', 'LEMON JUICE': '1 tsp', 'FRESH CORIANDER LEAVES': 'Handful', 'REFINED FLOUR': 2, 'CURD': '1/4th cup', 'KASHMIRI RED CHILLI POWDER': 3, 'BLACK SALT': '½ tsp', 'ANARDANA POWDER': '1 tbsp', 'AAMCHUR POWDER': 3, 'CUMIN': '1 tbsp', 'BLACK PEPPER': '½ tsp', 'FRESH MINT LEAVES': 'Handful', 'GINGER': '½ inch', 'TAMARIND PULP': 3, 'ONIONS': 'Chopped', 'VINEGAR': 50}",0.0,0.0
Chur chur naan,"{'Refined flour': 2, 'Curd': 0.25, 'Ghee': 1, 'Oil': 1, 'Paneer': 1, 'Red chilli powder': 2, 'Coriander seeds': 2, 'Jeera powder': 1, 'Anardana': 1, 'Garam masala': 0.5, 'Aamchur powder': 0.5, 'Ajwain': 1, 'Ginger': 1, 'Green chillies': 2, 'Onion': 0.25, 'Fresh mint leaves': 1, 'Fresh coriander leaves': 1, 'Salt': 0, 'Desi ghee': 0, 'Water': 0, 'Dry refined flour': 0, 'Kashmiri red chilli powder': 0}",30.0,15.0
Instant mawa modak,"{'Milk powder': 2, 'Milk': 1, 'Ghee': 1, 'Kesar': 8, 'Elaichi powder': 0.25, 'Sugar': 0.5}",0.0,5.0
Pav bhaji masala toasties,"{'POTATOES': 0.5, 'TOMATOES': 0.5, 'ONIONS': 0.5, 'CAPSICUM': 0.5, 'GARLIC': 4.5}",0.0,10.0
Mumbai Street Sandwich,"{'Coriander leaves': 1, 'Spinach': 6, 'Green chillies': 12, 'Sandwich masala': 1, 'Garlic': 4, 'Roasted chana dal': 1, 'Curry leaves': 12, 'Water': 0, 'Jeera': 2, 'Cloves': 2, 'Peppercorns': 1, 'Fennel seeds': 1, 'Amchur powder': 1, 'Anardana powder': 1, 'Ginger powder': 0.5, 'Hing': 0.5, 'Black salt': 1, 'Salt': 2.5, 'Bread slices': 0, 'Special spicy sandwich chutney': 0, 'Soften butter': 0, 'Special sandwich masala': 0, 'Potatoes': 0, 'Beetroot': 0, 'Onions': 0, 'Tomatoes': 0, 'Cucumber': 0}",0.0,0.0
Khaman dhokla,"{'Besan': 200, 'Water': 0, 'Salt': 0, 'Citric acid': 1, 'Castor sugar': 2, 'Oil': 2, 'Ginger paste': 2, 'Baking soda': 1, 'Mustard seeds': 1, 'Curry leaves': 10, 'Green chillies': 2, 'Hing': 0.25, 'Powdered sugar': 4, 'Fresh coriander leaves': 0, 'Fresh coconut': 0, 'Fresh coriander': 0.5, 'Mint leaves': 0.25, 'Ginger': 1, 'Sugar': 1, 'Khaman dhokla reserve': 0.5, 'Lemon juice': 2}",0.0,7.0
Chinese Pocket Samosa,"{'CABBAGE': 1, 'CAPSICUM': 0.5, 'CARROTS': 0.5, 'FRENCH BEANS': 0.5, 'CORN KERNELS': 0.5}",0.0,0.0
Paneer Do Pyaza,"{'Paneer': '750gm', 'Oil': 0, 'Water': 0, 'Ghee': '4 tbsp', 'Cumin seeds': '1 tsp', 'Bay leaves': '2', 'Cinnamon stick': '1 inch', 'Green cardamom': '2', 'Cloves': '3-4', 'Black Peppercorns': '3-4', 'Badi elaichi': '1', 'Hing': '1 ½ tsp', 'Onions': '5-6 medium size', 'Ginger garlic paste': '3 tbsp', 'Turmeric powder': '1 tsp', 'Tomatoes': '4 medium size', 'Curd': '½ cup', 'Red chilli powder': '1 tbsp', 'Coriander powder': '1 tbsp', 'Fennel powder': '1 tsp', 'Cumin powder': '1 tsp', 'Garam masala': '2 tsp', 'Kasuri methi': '1 tsp', 'Jeera': '1 tsp', 'Coriander seed': '1 tsp', 'Green chillies': '2-3', 'Dry Kashmiri red chillies': '1-2', 'Onion petals': '½ cup', 'Fresh coriander leaves': '1 tbsp'}",15.0,25.0
Paneer Tikka Momos,"{'TOMATOES': 4, 'KASHMIRI RED CHILLIES': 8, 'GARLIC': 4, 'SUGAR': 1, 'PANEER': 400, 'CAPSICUM': 0.33, 'ONIONS': 0.33, 'FRESH MINT LEAVES': 1, 'FRESH CORIANDER LEAVES': 1, 'GREEN CHILLIES': 2, 'GINGER': 1, 'REFINED FLOUR': 2}",20.0,20.0
Sindhi Aloo Tuk,"{'RAW POTATOES': 8, 'OIL': 0, 'TURMERIC': 0.5, 'RED CHILLI POWDER': 1, 'CUMIN POWDER': 1, 'AMCHUR POWDER': 1, 'CORIANDER POWDER': 1, 'PEPPER': 0, 'SALT': 0}",5.0,15.0
Tandoori omelette sandwich,"{'MUSTARD OIL': 1, 'GINGER GARLIC PASTE': 1, 'CORIANDER POWDER': 1, 'KASHMIRI RED CHILLI POWDER': 1, 'JEERA POWDER': 1, 'BLACK SALT': 0.5, 'AMCHUR POWDER': 1, 'GARAM MASALA': 1, 'KASURI METHI': 1, 'HUNG CURD': 0.5, 'EGGS': 2, 'RED CHILLI POWDER': 0, 'ONIONS': 1, 'GREEN CHILLIES': 0.5, 'FRESH CORIANDER': 1, 'BUTTER/GHEE': 0}",5.0,5.0
Peri peri Paneer Sandwich Pakora,"{'RED CHILLI POWDER': 1, 'BLACK SALT': 1, 'CINNAMON POWDER': 0.25, 'GARLIC POWDER': 1, 'GINGER POWDER': 1, 'OREGANO': 1, 'POWDERED SUGAR': 1, 'OIL': 0, 'JEERA': 1, 'GINGER GARLIC PASTE': 1, 'GREEN CHILLIES': 2, 'POTATOES': 2, 'LEMON JUICE': 1, 'FRESH CORIANDER LEAVES': 1, 'BESAN': 2, 'AJWAIN': 1, 'PANEER': 400}",15.0,15.0
Desi Veg Chowmein Noodles,"{'NOODLES': 1, 'WATER': 0, 'SALT': 0, 'OIL': 1, 'GARLIC': 1, 'GINGER': 1, 'SPRING ONION BULBS': 0.25, 'GREEN CHILLIES': 2, 'ONIONS': 1, 'CARROTS': 0.5, 'CAPSICUM': 0.5, 'CABBAGE': 1, 'SOY SAUCE': 1, 'GREEN CHILLI PASTE': 2, 'RED CHILLI SAUCE': 1, 'TOMATO KETCHUP': 1, 'VINEGAR': 1, 'WHITE PEPPER POWDER': 0, 'SUGAR': 1, 'SPRING ONION GREENS': 1}",10.0,10.0
Schezwan chilli potatoes,"{'POTATOES': 4, 'CORN FLOUR': 1, 'OIL': 3, 'KASHMIRI RED CHILLI PASTE': 0.5, 'CELERY': 2, 'GARLIC': 0.25, 'GINGER': 1, 'GREEN CHILLIES': 2, 'SPRING ONION BULBS': 2, 'LIGHT SOY SAUCE': 1, 'KETCHUP': 1, 'VINEGAR': 1, 'VEGETABLE STOCK / HOT WATER': 500, 'ONIONS': 0.5, 'CAPSICUM': 0.5, 'DRIED RED CHILLIES': 2}",10.0,25.0
Masala pav sandwich,"{'TOMATOES': 0, 'POTATOES': 0, 'BEETROOT': 0, 'ONIONS': 0, 'CAPSICUM': 0, 'CUCUMBER': 0}",10.0,10.0
Paneer chilli frankie,"{'REFINED FLOUR': 0.5, 'SALT': 0.5, 'CURD': 0.25, 'WATER': 1.25, 'OIL': 0, 'PANEER': 500, 'CORN FLOUR': 2, 'GINGER GARLIC PASTE': 1, 'BLACK PEPPER': 0.5, 'GARLIC': 0.25, 'SPRING ONION BULBS': 0.25, 'GINGER': 1, 'GREEN CHILLIES': 3, 'STOCK': 400, 'LIGHT SOY SAUCE': 2, 'DARK SOY SAUCE': 1, 'GREEN CHILLI PASTE': 2, 'VINEGAR': 1, 'SUGAR': 1, 'WHITE PEPPER POWDER': 0, 'ONIONS': 0.5, 'CAPSICUM': 0.5, 'SPRING ONION GREENS': 2, 'KASHMIRI RED CHILLI POWDER': 3, 'TURMERIC POWDER': 1, 'CORIANDER POWDER': 2, 'BLACK SALT': 1, 'ANARDANA POWDER': 1, 'AAMCHUR POWDER': 3, 'CUMIN': 1, 'GARAM MASALA': 2, 'BUTTER': 0}",20.0,20.0
Bread pakora chaat,"{'OIL': 0, 'JEERA': 1, 'RAI': 1, 'HING': 0.25, 'CURRY LEAVES': 10, 'GINGER GARLIC PASTE': 1, 'TURMERIC POWDER': 0.5, 'GREEN CHILLI PASTE': 1, 'POTATOES': 5, 'GARAM MASALA': 0.5, 'SALT': 0, 'LEMON JUICE': 2, 'FRESH CORIANDER LEAVES': 2, 'BESAN': 2, 'AJWAIN': 1, 'WATER': 0, 'BREAD SLICE': 0, 'POTATO FILLING': 0}",15.0,20.0
